Sr,latency
0,0.007157572
1,0.006786710
2,0.006710671
3,0.006564973
4,0.006573085
5,0.006586188
6,0.006571245
7,0.007056644
8,0.007455128
9,0.007961173
10,0.007792446
11,0.007462932
12,0.007110530
13,0.007100920
14,0.007404909
15,0.007181963
16,0.007146797
17,0.006997314
18,0.006798827
19,0.006577387
20,0.006647305
21,0.006577002
22,0.006567841
23,0.006567844
24,0.006730999
25,0.007075939
26,0.007071409
27,0.007074958
28,0.007081710
29,0.007071330
30,0.007079758
31,0.007076568
32,0.007099600
33,0.007072577
34,0.007414414
35,0.007223591
36,0.007092055
37,0.007071856
38,0.007073372
39,0.007072553
40,0.007071457
41,0.007152674
42,0.007069054
43,0.007080900
44,0.007072566
45,0.007074346
46,0.007073347
47,0.007070780
48,0.007080664
49,0.007182750
50,0.007070710
51,0.007071544
52,0.007149143
53,0.007071389
54,0.007073763
55,0.007071487
56,0.007071348
57,0.007071708
58,0.007075945
59,0.007075012
60,0.007071577
61,0.007071583
62,0.007071196
63,0.007081824
64,0.007151048
65,0.007071336
66,0.007089000
67,0.007071997
68,0.007071259
69,0.007395571
70,0.007201525
71,0.007156760
72,0.007087988
73,0.007089253
74,0.007090238
75,0.007076695
76,0.007080138
77,0.007091042
78,0.007078951
79,0.007082048
80,0.007078062
81,0.007082006
82,0.007158083
83,0.007079221
84,0.007076981
85,0.007086324
86,0.007080629
87,0.007075179
88,0.007091004
89,0.007080254
90,0.007082528
91,0.007080074
92,0.007083014
93,0.007156280
94,0.007081230
95,0.006626743
96,0.006576661
97,0.006579914
98,0.006656120
99,0.006572787
100,0.006577279
101,0.006578310
102,0.006580096
103,0.006649401
104,0.006576005
105,0.006592580
106,0.006581711
107,0.006580887
108,0.006650646
109,0.006569580
110,0.006572779
111,0.006573363
112,0.006577158
113,0.006565518
114,0.006575483
115,0.006573534
116,0.006568947
117,0.006575406
118,0.006572274
119,0.006577322
120,0.006648060
121,0.006576429
122,0.006580564
123,0.006572213
124,0.006577246
125,0.006575495
126,0.006582211
127,0.006577937
128,0.006573134
129,0.006576187
130,0.006575258
131,0.006579889
132,0.006645363
133,0.006576312
